,Care,Truthfulness,Professionalism,Sustainability,Justice,Creativity,Wisdom,Communication,Privacy
Care,,,,,,,,,
Truthfulness,55.5556,,,,,,,,
Professionalism,45.4545,29.1667,,,,,,,
Sustainability,63.1579,40.9091,39.1304,,,,,,
Justice,54.1667,20.8333,36.3636,50.0000,,,,,
Creativity,42.8571,50.0000,50.0000,71.4286,63.6364,,,,
Wisdom,43.4783,45.0000,47.6190,57.1429,45.8333,63.6364,,,
Communication,38.0952,29.1667,34.7826,54.1667,45.0000,60.8696,63.6364,,
Privacy,50.0000,58.3333,41.6667,30.4348,47.6190,40.9091,40.9091,52.3810,
