,Care,Truthfulness,Professionalism,Sustainability,Justice,Creativity,Wisdom,Communication,Privacy
Care,,,,,,,,,
Truthfulness,11.1111,,,,,,,,
Professionalism,-27.2727,-4.1667,,,,,,,
Sustainability,-52.6316,13.6364,-4.3478,,,,,,
Justice,-12.5000,4.1667,9.0909,-13.6364,,,,,
Creativity,-4.7619,20.0000,-8.3333,33.3333,18.1818,,,,
Wisdom,17.3913,15.0000,19.0476,0.0000,-4.1667,-9.0909,,,
Communication,-9.5238,12.5000,17.3913,20.8333,5.0000,-43.4783,36.3636,,
Privacy,-10.0000,-33.3333,-41.6667,-4.3478,-28.5714,-13.6364,-31.8182,-14.2857,
