,Care,Truthfulness,Professionalism,Sustainability,Justice,Creativity,Wisdom,Communication,Privacy
Care,,,,,,,,,
Truthfulness,-5.0000,,,,,,,,
Professionalism,-13.6364,-36.8421,,,,,,,
Sustainability,-13.0435,-4.7619,31.5789,,,,,,
Justice,-13.6364,13.6364,25.0000,-23.8095,,,,,
Creativity,-21.7391,15.0000,5.2632,16.6667,27.2727,,,,
Wisdom,20.8333,38.0952,-4.5455,-8.6957,15.0000,-8.6957,,,
Communication,-8.6957,-4.7619,4.5455,9.5238,23.8095,13.6364,5.0000,,
Privacy,16.6667,-20.0000,-25.0000,-5.2632,10.0000,16.6667,-21.7391,0.0000,
