,Care/Protection,Communication/Cooperation,Creativity,Justice/Equality/Freedom/Respect,Privacy,Professionalism,Sustainability,Truthfulness,Wisdom/Learning
Care/Protection,,,,,,,,,
Communication/Cooperation,69.53221288515405,,,,,,,,
Creativity,55.247235736399816,54.041353383458635,,,,,,,
Justice/Equality/Freedom/Respect,65.80808080808082,67.14912280701753,44.285714285714285,,,,,,
Privacy,65.82539682539682,66.97091144149968,65.13131313131314,74.42042606516291,,,,,
Professionalism,61.76923076923076,68.97092381302909,42.0,61.56666666666666,68.3296476485331,,,,
Sustainability,64.34398496240601,75.82359307359306,50.417529330572805,62.135620915032675,60.147275325293904,55.25490196078431,,,
Truthfulness,56.677440206851976,67.0,53.65399074609601,72.30047042740541,65.85213032581453,61.156322177994,61.3040176198071,,
Wisdom/Learning,59.160401002506276,53.89032536091359,60.47893390765917,63.985552115583076,64.45545235638114,57.53169706110883,63.33008658008657,64.8833622517833,
