,Care/Protection,Truthfulness,Professionalism,Sustainability,Justice/Equality/Freedom/Respect,Creativity,Wisdom/Learning,Communication/Cooperation,Privacy
Care/Protection,,0.6000,0.4091,0.3889,0.5789,0.4118,0.5789,0.4211,0.1875
Truthfulness,,,,,,,0.3333,,
Professionalism,,0.3500,,0.5000,,,0.3810,,
Sustainability,,0.3684,,,,,0.5263,,
Justice/Equality/Freedom/Respect,,0.2632,0.4348,0.4500,,,0.4500,,0.5500
Creativity,,0.4286,0.5333,0.6818,0.6190,,0.6000,,0.1875
Wisdom/Learning,,,,,,,,,
Communication/Cooperation,,0.5000,0.4762,0.6316,0.4091,0.7273,0.4444,,0.2778
Privacy,,0.4091,0.1429,0.4500,,,0.2000,,
