,Care/Protection,Communication/Cooperation,Creativity,Justice/Equality/Freedom/Respect,Privacy,Professionalism,Sustainability,Truthfulness,Wisdom/Learning
Care/Protection,,,,,,,,,
Communication/Cooperation,70.0,,,,,,,,
Creativity,23.52941176470588,25.0,,,,,,,
Justice/Equality/Freedom/Respect,50.0,66.66666666666666,14.285714285714285,,,,,,
Privacy,28.57142857142857,64.70588235294117,54.54545454545454,43.75,,,,,
Professionalism,53.84615384615385,50.0,22.22222222222222,56.25,64.70588235294117,,,,
Sustainability,40.0,68.75,27.77777777777778,43.75,38.46153846153847,15.0,,,
Truthfulness,64.70588235294117,50.0,15.384615384615385,52.94117647058824,31.57894736842105,52.94117647058824,72.72727272727273,,
Wisdom/Learning,50.0,70.58823529411765,64.70588235294117,58.82352941176471,29.411764705882355,53.333333333333336,68.75,52.38095238095239,
